communication_round,global_average_accuracy,global_average_loss
0,0.132577512,1.734807253
1,0.601630157,1.44347477
2,0.760600984,1.244715691
3,0.798616767,1.101478219
4,0.817406273,0.993252277
5,0.832960725,0.908704102
6,0.844104183,0.840905964
7,0.851610446,0.785357594
8,0.855976677,0.739021122
9,0.858923376,0.699778914
10,0.863377631,0.666113615
11,0.867409766,0.636910319
12,0.870584095,0.611331642
13,0.873851252,0.588737309
14,0.875800812,0.568627238
15,0.877842355,0.550606728
16,0.879784095,0.534359574
17,0.881482995,0.519630611
18,0.883170712,0.506211698
19,0.884651279,0.493930668
20,0.885492551,0.482644737
21,0.886673808,0.472233951
22,0.887729681,0.462597042
23,0.888922977,0.453647792
24,0.889979601,0.445312589
25,0.891718948,0.437527657
26,0.892565405,0.430238158
27,0.893232191,0.4233962
28,0.894097996,0.416959912
29,0.895132065,0.410892904
30,0.895918858,0.405162424
31,0.896706367,0.39974004
32,0.898366785,0.394600213
33,0.899194753,0.389720351
34,0.899489081,0.38507998
35,0.900093567,0.3806611
36,0.900033927,0.37644729
37,0.900938046,0.372423738
38,0.900940716,0.368577093
39,0.901827621,0.364895225
40,0.902675474,0.361367136
41,0.902988994,0.357982695
42,0.902988994,0.354732782
43,0.902806687,0.351609081
44,0.90387398,0.348603755
45,0.903389513,0.345709771
46,0.904143286,0.342920691
47,0.904251909,0.340230316
48,0.904981029,0.337633401
49,0.905819643,0.335124552
50,0.906108654,0.332699299
51,0.9064978,0.330352902
52,0.9064978,0.328081429
53,0.906644976,0.325881034
54,0.906851792,0.323748291
55,0.906998956,0.321679771
56,0.907205784,0.319672316
57,0.907388103,0.317723185
58,0.90753262,0.315829575
59,0.907739449,0.313988984
60,0.908379805,0.312198937
61,0.908709276,0.310457319
62,0.908578777,0.308761925
63,0.909101057,0.307110935
64,0.909416509,0.305502236
65,0.909914291,0.303934157
66,0.910205984,0.302405268
67,0.910205984,0.300913662
68,0.910412812,0.299458027
69,0.910910571,0.298036933
70,0.910886061,0.296649039
71,0.910738885,0.295293123
72,0.91087203,0.293967903
73,0.911019206,0.292672366
74,0.911735177,0.29140535
75,0.911879683,0.290165901
76,0.912157321,0.288952887
77,0.912157321,0.287765592
78,0.912593508,0.286602914
79,0.912908971,0.285464227
80,0.913406742,0.284348637
81,0.913698411,0.283255339
82,0.914052403,0.282183588
83,0.914234722,0.281132787
84,0.914234722,0.280102283
85,0.914648366,0.279091239
86,0.915315163,0.27809912
87,0.915812922,0.277125597
88,0.915837443,0.276169807
89,0.91598196,0.275231332
90,0.916308773,0.274309635
91,0.916308773,0.273404241
92,0.916515601,0.272514641
93,0.916880238,0.27164045
94,0.917027414,0.27078113
95,0.91723423,0.269936293
96,0.917528558,0.269105613
97,0.917528558,0.268288612
98,0.917360282,0.267485023
99,0.917360282,0.266694307
