communication_round,global_average_accuracy,global_average_loss
0,0.064710839,0.019092979
1,0.542155561,0.019022014
2,0.657448706,0.017868308
3,0.802928281,0.018112045
4,0.561764702,0.018876463
5,0.856003749,0.018398276
6,0.660118502,0.018842433
7,0.567082644,0.01887219
8,0.46406838,0.018946934
9,0.762849408,0.017902974
10,0.77115674,0.018050816
11,0.714335853,0.018103171
12,0.643015277,0.018880665
13,0.645806992,0.018268656
14,0.53550891,0.018881144
15,0.853498697,0.018444229
16,0.659154576,0.01885709
17,0.590474632,0.018890642
18,0.561201185,0.018957077
19,0.463231239,0.01897414
20,0.748452175,0.018406412
21,0.660769463,0.018265745
22,0.61709601,0.01870322
23,0.486403231,0.018938767
24,0.509502858,0.018974733
25,0.767927909,0.018502599
26,0.648113489,0.018894967
27,0.719783789,0.018412765
28,0.65491668,0.018216994
29,0.651074181,0.018263847
30,0.604484499,0.01874141
31,0.455855608,0.018897902
32,0.476205796,0.018961156
33,0.555466518,0.019010233
34,0.52605627,0.019096158
35,0.835921127,0.018492751
36,0.746502334,0.018281778
37,0.705579561,0.017616939
38,0.767402875,0.017939638
39,0.68981263,0.018707747
40,0.653057507,0.018296061
41,0.675941855,0.018777128
42,0.704103214,0.017791728
43,0.731564212,0.018772585
44,0.645688254,0.018308071
45,0.751190937,0.018213697
46,0.593228221,0.018858332
47,0.615139014,0.01898374
48,0.720800054,0.018426862
49,0.806085247,0.018263618
50,0.661862727,0.017611628
51,0.646785095,0.018141624
52,0.633813182,0.018243646
53,0.76306383,0.018097773
54,0.674017417,0.018208288
55,0.764052713,0.01813521
56,0.84321152,0.018096855
57,0.678658271,0.01871209
58,0.670448652,0.01780618
59,0.7673096,0.018043969
60,0.677073206,0.018181302
61,0.802180082,0.018206146
62,0.660945512,0.018275518
63,0.634861879,0.01816478
64,0.681161737,0.018727297
65,0.589129612,0.018876899
66,0.508475125,0.017839404
67,0.717579502,0.018735748
68,0.582943797,0.018900219
69,0.640915158,0.018367253
70,0.750310594,0.018229464
71,0.860844803,0.018159157
72,0.803508174,0.018133232
73,0.71548633,0.018170347
74,0.707635874,0.017594669
75,0.698733586,0.01853619
76,0.735222274,0.017705048
77,0.663201249,0.018685419
78,0.85768379,0.01834525
79,0.665102887,0.01884561
80,0.538429753,0.019011769
81,0.70162577,0.01778727
82,0.588562962,0.018295286
83,0.466595256,0.018691486
84,0.750241327,0.018400382
85,0.602803195,0.018873174
86,0.470734031,0.018908488
87,0.750792193,0.018392708
88,0.660480446,0.018216182
89,0.61709601,0.018757625
90,0.532792202,0.018999629
91,0.789712268,0.018407922
92,0.516921529,0.01863068
93,0.76676693,0.017801518
94,0.822455645,0.018106585
95,0.672032371,0.018253723
96,0.647548926,0.017591732
97,0.477208519,0.017439198
98,0.461922175,0.017415319
99,0.8866539,0.017828379
