communication_round,global_average_accuracy,global_average_loss
1,0.057184213772416115,0.01875552348792553
2,0.8586242347955704,0.015463016927242279
3,0.8939168900251389,0.012853051535785198
4,0.9168171882629395,0.011729137040674686
5,0.9238152503967285,0.011174961924552917
6,0.9287405461072922,0.010781429708003998
7,0.9311460703611374,0.010444151237607002
8,0.9313433766365051,0.01011715643107891
9,0.9331355690956116,0.009791132062673569
10,0.9349585920572281,0.009471511468291283
11,0.9358260333538055,0.009165887720882893
12,0.9367067813873291,0.0088798301294446
13,0.9365097284317017,0.008615910075604916
14,0.935931459069252,0.008374996483325958
15,0.936006024479866,0.008156352676451206
16,0.9365230947732925,0.007958672009408474
17,0.9365230947732925,0.007780428510159254
18,0.9362951964139938,0.007619850337505341
19,0.9372547417879105,0.007475181017071009
20,0.9384861141443253,0.007344930432736874
21,0.9384861141443253,0.007227499969303608
22,0.9387446492910385,0.007121676579117775
23,0.9387446492910385,0.0070262933149933815
24,0.938700720667839,0.006940173916518688
25,0.9389592558145523,0.0068623716942965984
26,0.9392484128475189,0.006792075000703335
27,0.9396736323833466,0.0067285154946148396
28,0.9399057626724243,0.006671006325632334
29,0.9401642978191376,0.006618868093937635
30,0.8181275069713593,0.01046342309564352
31,0.9448276609182358,0.010082179680466652
